idbase,ponderador,variable,value,index,raw_value
2076.0,1.1847591449646682,sexo,Hombre,2613,2
1450.0,1.2099187387061097,sexo,Hombre,2613,2
990.0,1.423894482151761,sexo,Hombre,2613,2
1855.0,1.1847591449646682,sexo,Hombre,2613,2
1895.0,0.9721348990956189,sexo,Hombre,2613,2
1317.0,1.1847591449646682,sexo,Hombre,2613,2
1296.0,0.9357676922988913,sexo,Hombre,2613,2
1100.0,1.217562046721443,sexo,Hombre,2613,2
2252.0,1.1847591449646682,sexo,Hombre,2613,2
764.0,1.1847591449646682,sexo,Hombre,2613,2
973.0,1.423894482151761,sexo,Hombre,2613,2
1313.0,0.9357676922988913,sexo,Hombre,2613,2
1457.0,1.2099187387061097,sexo,Hombre,2613,2
1718.0,0.9616766678135391,sexo,Hombre,2613,2
1866.0,1.2099187387061097,sexo,Hombre,2613,2
2058.0,0.9616766678135391,sexo,Hombre,2613,2
2065.0,1.217562046721443,sexo,Hombre,2613,2
2093.0,0.9357676922988913,sexo,Hombre,2613,2
1681.0,1.217562046721443,sexo,Hombre,2613,2
734.0,0.9357676922988913,sexo,Hombre,2613,2
1078.0,1.217562046721443,sexo,Hombre,2613,2
1679.0,1.217562046721443,sexo,Hombre,2613,2
1878.0,1.2099187387061097,sexo,Hombre,2613,2
2163.0,1.423894482151761,sexo,Hombre,2613,2
421.0,0.9616766678135391,sexo,Hombre,2613,2
1131.0,1.217562046721443,sexo,Hombre,2613,2
1751.0,0.9357676922988913,sexo,Hombre,2613,2
1767.0,0.9357676922988913,sexo,Hombre,2613,2
1831.0,1.1847591449646682,sexo,Hombre,2613,2
748.0,1.1847591449646682,sexo,Hombre,2613,2
1287.0,0.9357676922988913,sexo,Hombre,2613,2
1905.0,1.2099187387061097,sexo,Hombre,2613,2
2143.0,1.2099187387061097,sexo,Hombre,2613,2
2265.0,1.2099187387061097,sexo,Hombre,2613,2
1386.0,1.1847591449646682,sexo,Hombre,2613,2
1647.0,1.217562046721443,sexo,Hombre,2613,2
1770.0,1.1847591449646682,sexo,Hombre,2613,2
2296.0,0.9616766678135391,sexo,Hombre,2613,2
381.0,1.217562046721443,sexo,Hombre,2613,2
977.0,1.423894482151761,sexo,Hombre,2613,2
1280.0,1.1847591449646682,sexo,Hombre,2613,2
359.0,1.217562046721443,sexo,Hombre,2613,2
482.0,1.217562046721443,sexo,Hombre,2613,2
955.0,0.9556396933504712,sexo,Hombre,2613,2
1496.0,1.2099187387061097,sexo,Hombre,2613,2
325.0,1.217562046721443,sexo,Hombre,2613,2
382.0,1.217562046721443,sexo,Hombre,2613,2
1307.0,1.1847591449646682,sexo,Hombre,2613,2
2068.0,1.217562046721443,sexo,Hombre,2613,2
1218.0,1.217562046721443,sexo,Hombre,2613,2
1469.0,1.423894482151761,sexo,Hombre,2613,2
2053.0,1.217562046721443,sexo,Hombre,2613,2
1692.0,1.217562046721443,sexo,Hombre,2613,2
2222.0,1.217562046721443,sexo,Hombre,2613,2
1137.0,0.9616766678135391,sexo,Hombre,2613,2
1214.0,1.217562046721443,sexo,Hombre,2613,2
1655.0,1.217562046721443,sexo,Hombre,2613,2
2174.0,1.2099187387061097,sexo,Hombre,2613,2
4.0,0.9357676922988913,sexo,Hombre,2613,2
732.0,0.9357676922988913,sexo,Hombre,2613,2
1378.0,1.1847591449646682,sexo,Hombre,2613,2
1382.0,1.1847591449646682,sexo,Hombre,2613,2
1836.0,1.1847591449646682,sexo,Hombre,2613,2
1858.0,1.2099187387061097,sexo,Hombre,2613,2
2072.0,1.217562046721443,sexo,Hombre,2613,2
1001.0,1.1847591449646682,sexo,Hombre,2613,2
1083.0,1.217562046721443,sexo,Hombre,2613,2
1593.0,0.9616766678135391,sexo,Hombre,2613,2
1794.0,0.9519198893262194,sexo,Hombre,2613,2
2133.0,0.9556396933504712,sexo,Hombre,2613,2
